ID, administrator
name, administrator
ID, 855
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-14T16:12:39.394
endDateTime, 2020-08-14T16:13:17.986
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 38.5923
ModuleTime, 38.5923
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
856, Load Bio Rad DLL, 2020-08-14T16:12:39.449, 2020-08-14T16:12:39.451, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012104, 0.0012104, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
857, Put UUT, 2020-08-14T16:12:39.472, 2020-08-14T16:12:43.585, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.11227, 4.11227, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
858, DC Power On, 2020-08-14T16:12:43.601, 2020-08-14T16:12:43.942, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.341206, 0.341206, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
859, AC Power On, 2020-08-14T16:12:43.944, 2020-08-14T16:12:45.615, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.67139, 1.67139, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
860, Find Attached Devices, 2020-08-14T16:12:45.619, 2020-08-14T16:13:00.627, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0078, 15.0078, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
861, 12.8V No Load Test, 2020-08-14T16:13:00.630, 2020-08-14T16:13:01.857, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22673, 1.22673, Passed, Numeric, 12.8391011, AND, LimitPair, N.A, volt, 12.16, 13.44, 
862, 12.8V Load 30W, 2020-08-14T16:13:01.859, 2020-08-14T16:13:03.294, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.43514, 1.43514, Passed, Numeric, 12.568859, AND, LimitPair, N.A, volt, 12.16, 13.44, 
863, 5V No Load Test, 2020-08-14T16:13:03.298, 2020-08-14T16:13:03.989, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.691356, 0.691356, Passed, Numeric, 5.07622979, AND, LimitPair, N.A, volt, 4.75, 5.25, 
864, 5V 600mA Load, 2020-08-14T16:13:03.991, 2020-08-14T16:13:05.294, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.30314, 1.30314, Passed, Numeric, 5.03779166, AND, LimitPair, N.A, volt, 4.75, 5.25, 
865, 3.3V Voltage Check, 2020-08-14T16:13:05.298, 2020-08-14T16:13:05.993, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.695522, 0.695522, Passed, Numeric, 3.30512368, AND, LimitPair, N.A, volt, 2.85, 3.45, 
866, Battery Voltage Check, 2020-08-14T16:13:05.997, 2020-08-14T16:13:06.691, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.69447, 0.69447, Passed, Numeric, 3.21812213, AND, LimitPair, N.A, volt, 2.85, 3.45, 
867, Wait 10, 2020-08-14T16:13:06.693, 2020-08-14T16:13:15.286, ID#:731Py5h0n0O4z4TxEZWZlC, Test, NI_Wait, Main, 0, 15, 8.59296, 8.59296, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
868, Power Off, 2020-08-14T16:13:15.286, 2020-08-14T16:13:17.097, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.81125, 1.81125, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
869, DC Power Off, 2020-08-14T16:13:17.097, 2020-08-14T16:13:17.375, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.277723, 0.277723, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
870, Wait 10, 2020-08-14T16:13:17.375, 2020-08-14T16:13:17.976, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 0.601132, 0.601132, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
