ID, administrator
name, administrator
ID, 437
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-07-05T14:41:32.130
endDateTime, 2021-07-05T14:48:27.633
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 415.503
ModuleTime, 415.503
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
438, Load Bio Rad DLL, 2021-07-05T14:41:32.172, 2021-07-05T14:41:32.173, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0010727, 0.0010727, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
439, Put UUT, 2021-07-05T14:41:32.198, 2021-07-05T14:41:34.700, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.50198, 2.50198, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
440, DC Power On, 2021-07-05T14:41:34.705, 2021-07-05T14:41:35.056, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.350834, 0.350834, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
441, AC Power On, 2021-07-05T14:41:35.057, 2021-07-05T14:41:37.075, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 2.0187, 2.0187, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
442, Find Attached Devices, 2021-07-05T14:41:37.081, 2021-07-05T14:41:52.118, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0363, 15.0363, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
443, 12.8V No Load Test, 2021-07-05T14:41:52.121, 2021-07-05T14:41:53.821, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.69945, 1.69945, Passed, Numeric, 12.7488791, AND, LimitPair, N.A, volt, 12.16, 13.44, 
444, 12.8V Load 30W, 2021-07-05T14:41:53.822, 2021-07-05T14:41:55.129, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.30766, 1.30766, Passed, Numeric, 12.4497554, AND, LimitPair, N.A, volt, 12.16, 13.44, 
445, 5V No Load Test, 2021-07-05T14:41:55.138, 2021-07-05T14:41:55.864, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.725615, 0.725615, Passed, Numeric, 5.06972191, AND, LimitPair, N.A, volt, 4.75, 5.25, 
446, 5V 600mA Load, 2021-07-05T14:41:55.866, 2021-07-05T14:41:57.128, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.26276, 1.26276, Passed, Numeric, 5.09181912, AND, LimitPair, N.A, volt, 4.75, 5.25, 
447, 3.3V Voltage Check, 2021-07-05T14:41:57.135, 2021-07-05T14:41:57.873, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.738054, 0.738054, Passed, Numeric, 3.31656351, AND, LimitPair, N.A, volt, 2.85, 3.45, 
448, Battery Voltage Check, 2021-07-05T14:41:57.879, 2021-07-05T14:41:58.629, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.750336, 0.750336, Passed, Numeric, 3.22188408, AND, LimitPair, N.A, volt, 2.85, 3.45, 
449, Wait 10, 2021-07-05T14:41:58.631, 2021-07-05T14:42:08.632, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
450, Remote Command Set, 2021-07-05T14:42:08.633, 2021-07-05T14:43:16.735, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 68.1014, 68.1014, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
451, Initialize SRAM and HC12, 2021-07-05T14:43:16.736, 2021-07-05T14:43:26.230, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.4946, 9.4946, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
452, I2C Read Write Test, 2021-07-05T14:43:26.236, 2021-07-05T14:43:29.211, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.97452, 2.97452, Passed, Alpha VCC, 5.070244721, N.A, N.A, N.A, N.A, N.A, N.A, 
453, Get VCC Sensor Value, 2021-07-05T14:43:29.213, 2021-07-05T14:43:29.224, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0112665, 0.0112665, Passed, Numeric, 4.99712, AND, LimitPair, N.A, volt, 4.75, 5.25, 
454, Get 15V Sensor Value, 2021-07-05T14:43:29.226, 2021-07-05T14:43:29.237, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0113488, 0.0113488, Passed, Numeric, 13.0824, AND, LimitPair, N.A, volt, 12.16, 13.44, 
455, Get Power Sensor Value, 2021-07-05T14:43:29.239, 2021-07-05T14:43:29.255, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0158649, 0.0158649, Passed, Numeric, 39.4012, AND, LimitPair, N.A, volt, 38, 42, 
456, Lid Left Sensor Test, 2021-07-05T14:43:29.256, 2021-07-05T14:43:29.268, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0121893, 0.0121893, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
457, Lid Right Sensor Test, 2021-07-05T14:43:29.270, 2021-07-05T14:43:29.281, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0108259, 0.0108259, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
458, HS Left Sensor Test, 2021-07-05T14:43:29.283, 2021-07-05T14:43:29.294, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.010853, 0.010853, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
459, HS Right Sensor Test, 2021-07-05T14:43:29.295, 2021-07-05T14:43:29.306, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0108779, 0.0108779, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
460, Get Amp2 Sensor Value, 2021-07-05T14:43:29.308, 2021-07-05T14:43:29.320, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0121481, 0.0121481, Passed, Numeric, 24.7, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
461, Get Amp Sensor Value, 2021-07-05T14:43:29.322, 2021-07-05T14:43:29.333, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0111193, 0.0111193, Passed, Numeric, 23.8, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
462, Get Power Supply Sensor Value, 2021-07-05T14:43:29.335, 2021-07-05T14:43:29.346, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0110646, 0.0110646, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
463, SRAM Page 0 Check, 2021-07-05T14:43:29.352, 2021-07-05T14:44:15.609, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 46.2567, 46.2567, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
464, SRAM Page 1 Check, 2021-07-05T14:44:15.619, 2021-07-05T14:44:16.116, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.497276, 0.497276, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
465, SRAM Page 2 Check, 2021-07-05T14:44:16.118, 2021-07-05T14:44:16.523, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.405675, 0.405675, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
466, SRAM Page 3 Check, 2021-07-05T14:44:16.525, 2021-07-05T14:44:16.982, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.456993, 0.456993, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
467, Power Cycle Unit, 2021-07-05T14:44:16.984, 2021-07-05T14:44:45.977, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.9932, 28.9932, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
468, Battery Backup Test, 2021-07-05T14:44:45.978, 2021-07-05T14:44:47.029, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.05163, 1.05163, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
469, Block Sensor 0 Check, 2021-07-05T14:44:47.032, 2021-07-05T14:44:47.042, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0102324, 0.0102324, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
470, Block Sensor 1 Check, 2021-07-05T14:44:47.043, 2021-07-05T14:44:47.053, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0102899, 0.0102899, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
471, Block Sensor 2 Check, 2021-07-05T14:44:47.054, 2021-07-05T14:44:47.070, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.015613, 0.015613, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
472, Block Sensor 3 Check, 2021-07-05T14:44:47.071, 2021-07-05T14:44:47.081, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0099956, 0.0099956, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
473, Block Sensor 4 Check, 2021-07-05T14:44:47.082, 2021-07-05T14:44:47.092, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0101369, 0.0101369, Passed, Numeric, 52.87, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
474, Block Sensor 5 Check, 2021-07-05T14:44:47.094, 2021-07-05T14:44:47.104, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0105525, 0.0105525, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, 
475, TE CH0 Posistive Direction Check, 2021-07-05T14:44:47.133, 2021-07-05T14:45:28.118, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, true, 45, 40.985, Failed, Numeric, 0.0003483140916667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
476, TE CH0 Negative Direction Check, 2021-07-05T14:45:28.130, 2021-07-05T14:46:49.234, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 81.1039, 81.1039, Failed, Numeric, 0.000345501995, AND, LimitPair, N.A, ampere, -11.235, -10.165, 
477, TE CH1 Posistive Direction Check, 2021-07-05T14:46:49.245, 2021-07-05T14:48:10.353, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 81.1072, 81.1072, Aborted, Numeric, 0.0003448733516667, AND, LimitPair, N.A, ampere, 10.165, 11.235, 
478, Power Off, 2021-07-05T14:48:10.353, 2021-07-05T14:48:12.287, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.93474, 1.93474, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
479, DC Power Off, 2021-07-05T14:48:12.288, 2021-07-05T14:48:12.618, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.330087, 0.330087, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
480, Wait 10, 2021-07-05T14:48:12.618, 2021-07-05T14:48:27.618, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0005, 15.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
