ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-11-04T16:18:55.398
endDateTime, 2020-11-04T16:22:26.971
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 211.573
ModuleTime, 211.573
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
4, Load Bio Rad DLL, 2020-11-04T16:18:55.609, 2020-11-04T16:19:23.469, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 27.8602, 27.8602, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5, Put UUT, 2020-11-04T16:19:23.483, 2020-11-04T16:19:24.575, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.09226, 1.09226, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6, DC Power On, 2020-11-04T16:19:24.582, 2020-11-04T16:19:25.032, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.449909, 0.449909, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7, AC Power On, 2020-11-04T16:19:25.035, 2020-11-04T16:19:26.833, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.79876, 1.79876, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
8, Find Attached Devices, 2020-11-04T16:19:26.843, 2020-11-04T16:19:42.963, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.12, 16.12, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
9, 12.8V No Load Test, 2020-11-04T16:19:42.969, 2020-11-04T16:19:44.857, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, true, 6, 1.88807, Failed, Numeric, -0.0309076319, AND, LimitPair, N.A, volt, 12.16, 13.44, 
10, 12.8V Load 30W, 2020-11-04T16:19:44.859, 2020-11-04T16:19:46.414, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.55497, 1.55497, Failed, Numeric, 0.0484451681, AND, LimitPair, N.A, volt, 12.16, 13.44, 
11, 5V No Load Test, 2020-11-04T16:19:46.421, 2020-11-04T16:19:47.290, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.869072, 0.869072, Failed, Numeric, 0.0171663215, AND, LimitPair, N.A, volt, 4.75, 5.25, 
12, 5V 600mA Load, 2020-11-04T16:19:47.292, 2020-11-04T16:19:48.914, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.62197, 1.62197, Failed, Numeric, -0.0275653579, AND, LimitPair, N.A, volt, 4.75, 5.25, 
13, 3.3V Voltage Check, 2020-11-04T16:19:48.919, 2020-11-04T16:19:49.773, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.854138, 0.854138, Failed, Numeric, -0.0189545295, AND, LimitPair, N.A, volt, 2.85, 3.45, 
14, Battery Voltage Check, 2020-11-04T16:19:49.778, 2020-11-04T16:19:50.647, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.869638, 0.869638, Failed, Numeric, 0.0373635827, AND, LimitPair, N.A, volt, 2.85, 3.45, 
15, Wait 10, 2020-11-04T16:19:50.650, 2020-11-04T16:20:00.654, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0039, 10.0039, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
