ID, administrator
name, administrator
ID, 5018
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-14T05:51:05.088
endDateTime, 2021-03-14T05:53:15.466
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 130.378
ModuleTime, 130.378
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
5019, Load Bio Rad DLL, 2021-03-14T05:51:05.124, 2021-03-14T05:51:05.126, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0014523, 0.0014523, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5020, Put UUT, 2021-03-14T05:51:05.141, 2021-03-14T05:51:06.672, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.53027, 1.53027, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5021, DC Power On, 2021-03-14T05:51:06.679, 2021-03-14T05:51:06.973, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.293968, 0.293968, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5022, AC Power On, 2021-03-14T05:51:06.978, 2021-03-14T05:51:07.136, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.157566, 0.157566, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5023, Find Attached Devices, 2021-03-14T05:51:07.146, 2021-03-14T05:51:42.243, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0969, 35.0969, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
5024, 12.8V No Load Test, 2021-03-14T05:51:42.255, 2021-03-14T05:51:43.555, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.30015, 1.30015, Passed, Numeric, 12.8394443, AND, LimitPair, N.A, volt, 12.16, 13.44, 
5025, 12.8V Load 30W, 2021-03-14T05:51:43.561, 2021-03-14T05:51:44.805, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.24357, 1.24357, Passed, Numeric, 12.681212, AND, LimitPair, N.A, volt, 12.16, 13.44, 
5026, 5V No Load Test, 2021-03-14T05:51:44.817, 2021-03-14T05:51:45.551, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.733726, 0.733726, Passed, Numeric, 5.06746269, AND, LimitPair, N.A, volt, 4.75, 5.25, 
5027, 5V 600mA Load, 2021-03-14T05:51:45.556, 2021-03-14T05:51:46.805, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.24845, 1.24845, Passed, Numeric, 5.08495376, AND, LimitPair, N.A, volt, 4.75, 5.25, 
5028, 3.3V Voltage Check, 2021-03-14T05:51:46.815, 2021-03-14T05:51:47.546, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.730292, 0.730292, Passed, Numeric, 3.31511947, AND, LimitPair, N.A, volt, 2.85, 3.45, 
5029, Battery Voltage Check, 2021-03-14T05:51:47.557, 2021-03-14T05:51:48.327, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.770651, 0.770651, Passed, Numeric, 3.20809611, AND, LimitPair, N.A, volt, 2.85, 3.45, 
5030, Wait 10, 2021-03-14T05:51:48.330, 2021-03-14T05:51:58.330, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0003, 10.0003, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5031, Remote Command Set, 2021-03-14T05:51:58.334, 2021-03-14T05:53:00.005, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.6713, 61.6713, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5032, Power Off, 2021-03-14T05:53:00.005, 2021-03-14T05:53:00.102, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.0970972, 0.0970972, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5033, DC Power Off, 2021-03-14T05:53:00.102, 2021-03-14T05:53:00.440, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.337897, 0.337897, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5034, Wait 10, 2021-03-14T05:53:00.441, 2021-03-14T05:53:15.441, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0005, 15.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
